Device_ID,Device_Type,Department,Manufacturer,Age_Years,Daily_Usage_Hours,Daily_Idle_Hours,Total_Runtime_Hours,Temperature_C,Error_Count_Monthly,Days_Since_Last_Maintenance,Current_Status,Needs_Maintenance
DEV-001,Ultrasound,Cardiology,Dräger,6.0,7,15,671,42.3,2,150,Operational,0
DEV-002,X-Ray Machine,Radiology,Medtronic,4.8,13,9,1958,54.5,4,300,Faulty,1
DEV-003,ECG Machine,ICU,Siemens,5.0,8,13,4049,42.5,2,36,Operational,0
DEV-004,Patient Monitor,ICU,Medtronic,5.8,11,10,4697,58.0,3,333,Idle,0
DEV-005,Ultrasound,Surgery,Dräger,9.5,8,13,7509,38.2,1,287,Maintenance,1
DEV-006,Anesthesia Machine,Radiology,GE Healthcare,10.8,4,16,7167,22.7,0,303,Maintenance,1
DEV-007,MRI Scanner,Cardiology,Medtronic,11.5,14,9,2822,55.5,1,311,Idle,0
DEV-008,Ultrasound,General Ward,GE Healthcare,9.5,14,7,2136,36.6,3,208,Idle,0
DEV-009,ECG Machine,Radiology,Siemens,4.1,19,4,3615,29.2,1,106,Idle,0
DEV-010,Patient Monitor,Surgery,Philips,8.4,9,11,4590,45.2,1,158,Operational,0
DEV-011,X-Ray Machine,Surgery,Siemens,5.5,10,12,7460,42.6,2,121,Operational,0
DEV-012,ECG Machine,Radiology,Medtronic,3.4,8,13,3504,53.2,2,55,Idle,0
DEV-013,ECG Machine,Surgery,GE Healthcare,10.2,2,20,5636,53.9,4,12,Maintenance,1
DEV-014,MRI Scanner,Radiology,GE Healthcare,0.9,4,19,829,46.0,3,145,Operational,0
DEV-015,Defibrillator,ER,Dräger,10.9,14,7,4140,36.2,1,136,Operational,0
DEV-016,Patient Monitor,Radiology,GE Healthcare,5.8,18,4,4394,47.9,0,3,Operational,0
DEV-017,Infusion Pump,Radiology,Dräger,7.8,2,20,6116,46.7,0,144,Idle,0
DEV-018,ECG Machine,Surgery,Philips,8.1,7,15,4607,50.7,1,30,Operational,0
DEV-019,Defibrillator,Surgery,Medtronic,10.8,7,13,1841,36.3,1,237,Operational,0
DEV-020,Infusion Pump,ICU,Dräger,7.8,13,10,4163,41.0,1,279,Operational,0
DEV-021,Patient Monitor,ICU,Philips,7.6,14,9,715,50.1,4,348,Faulty,1
DEV-022,Ventilator,ER,GE Healthcare,1.3,14,9,838,57.5,1,115,Idle,0
DEV-023,Anesthesia Machine,ICU,GE Healthcare,6.5,16,4,6395,54.7,1,104,Operational,0
DEV-024,Defibrillator,Radiology,Philips,2.2,17,6,4562,45.8,2,118,Idle,0
DEV-025,Dialysis Machine,Surgery,GE Healthcare,9.0,12,8,3208,40.1,0,5,Idle,0
DEV-026,Ventilator,ICU,Philips,6.4,6,16,3652,49.0,0,360,Operational,0
DEV-027,Anesthesia Machine,ICU,Dräger,8.3,5,16,2250,34.1,1,248,Operational,0
DEV-028,MRI Scanner,ER,Dräger,1.0,4,19,6104,36.8,0,364,Operational,0
DEV-029,Ultrasound,Cardiology,Philips,1.5,19,4,2921,60.1,1,321,Maintenance,1
DEV-030,X-Ray Machine,ER,Dräger,8.7,16,6,7619,49.0,1,121,Operational,0
DEV-031,Dialysis Machine,Radiology,Dräger,1.3,10,11,1209,41.5,1,286,Operational,0
DEV-032,MRI Scanner,Surgery,Dräger,1.3,18,2,5819,53.3,2,149,Idle,0
DEV-033,Patient Monitor,ER,Siemens,0.6,15,6,7109,57.9,0,84,Operational,0
DEV-034,MRI Scanner,ICU,Medtronic,11.5,16,6,5708,40.6,2,231,Idle,0
DEV-035,Ultrasound,Surgery,GE Healthcare,9.0,2,20,5887,40.7,2,288,Operational,0
DEV-036,Patient Monitor,Surgery,Siemens,4.6,4,17,4226,39.5,3,161,Operational,0
DEV-037,Dialysis Machine,ICU,Dräger,3.9,17,3,4142,54.6,0,272,Operational,0
